album_name,song_name,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Taylor Swift,Tim McGraw,2006-10-24,67,0.58,0.491,0,-6.462,1,0.0251,0.575,0.0,0.121,0.425,76.009,232107,4
Taylor Swift,Picture To Burn,2006-10-24,71,0.658,0.877,7,-2.098,1,0.0323,0.173,0.0,0.0962,0.821,105.586,173067,4
Taylor Swift,Teardrops On My Guitar - Radio Single Remix,2006-10-24,68,0.621,0.417,10,-6.941,1,0.0231,0.288,0.0,0.119,0.289,99.953,203040,4
Taylor Swift,A Place in this World,2006-10-24,60,0.576,0.777,9,-2.881,1,0.0324,0.051,0.0,0.32,0.428,115.028,199200,4
Taylor Swift,Cold As You,2006-10-24,60,0.418,0.482,5,-5.769,1,0.0266,0.217,0.0,0.123,0.261,175.558,239013,4
Taylor Swift,The Outside,2006-10-24,58,0.589,0.805,5,-4.055,1,0.0293,0.00491,0.0,0.24,0.591,112.982,207107,4
Taylor Swift,Tied Together with a Smile,2006-10-24,59,0.479,0.578,2,-4.963,1,0.0294,0.525,0.0,0.0841,0.192,146.165,248107,4
Taylor Swift,Stay Beautiful,2006-10-24,59,0.594,0.629,8,-4.919,1,0.0246,0.0868,0.0,0.137,0.504,131.597,236053,4
Taylor Swift,Should've Said No,2006-10-24,67,0.476,0.777,4,-3.771,0,0.0289,0.0103,0.0,0.196,0.472,167.964,242200,4
Taylor Swift,Mary's Song (Oh My My My),2006-10-24,61,0.403,0.627,2,-5.28,1,0.0292,0.0177,0.0,0.182,0.374,74.9,213080,4
Taylor Swift,Our Song,2006-10-24,75,0.668,0.672,2,-4.931,1,0.0303,0.111,0.0,0.329,0.539,89.011,201107,4
Taylor Swift,I'm Only Me When I'm With You,2006-10-24,61,0.563,0.934,8,-3.629,1,0.0646,0.00452,0.000807,0.103,0.518,143.964,213053,4
Taylor Swift,Invisible,2006-10-24,58,0.612,0.394,7,-5.723,1,0.0243,0.637,0.0,0.147,0.233,96.001,203227,4
Taylor Swift,A Perfectly Good Heart,2006-10-24,56,0.483,0.751,4,-5.726,1,0.0365,0.00349,0.0,0.128,0.268,156.092,220147,4
Taylor Swift,Teardrops on My Guitar - Pop Version,2006-10-24,57,0.459,0.753,10,-3.827,1,0.0537,0.0402,0.0,0.0863,0.483,199.997,179067,4
Fearless (Taylor's Version),Fearless (Taylor’s Version),2021-04-09,83,0.569,0.741,5,-4.963,1,0.0282,0.0122,0.0,0.333,0.43,100.118,241592,4
Fearless (Taylor's Version),Fifteen (Taylor’s Version),2021-04-09,72,0.559,0.646,7,-4.61,1,0.0272,0.116,0.0,0.32,0.289,95.466,294419,4
Fearless (Taylor's Version),Love Story (Taylor’s Version),2021-04-09,82,0.627,0.792,2,-4.311,1,0.031,0.13,3.97e-06,0.0845,0.415,119.054,235767,4
Fearless (Taylor's Version),Hey Stephen (Taylor’s Version),2021-04-09,71,0.788,0.571,6,-6.135,1,0.0296,0.106,0.0,0.0934,0.797,115.99,254255,4
Fearless (Taylor's Version),White Horse (Taylor’s Version),2021-04-09,73,0.423,0.517,0,-7.377,1,0.0486,0.369,0.0,0.177,0.366,185.262,234516,4
Fearless (Taylor's Version),You Belong With Me (Taylor’s Version),2021-04-09,86,0.632,0.773,6,-4.856,1,0.0346,0.0623,0.0,0.0885,0.474,130.033,231124,4
Fearless (Taylor's Version),Breathe (feat. Colbie Caillat) (Taylor’s Version),2021-04-09,69,0.506,0.626,1,-6.066,1,0.0287,0.156,0.0,0.228,0.321,148.035,263377,4
Fearless (Taylor's Version),Tell Me Why (Taylor’s Version),2021-04-09,68,0.578,0.909,7,-3.669,1,0.0628,0.0222,0.0,0.333,0.541,100.023,200576,4
Fearless (Taylor's Version),You’re Not Sorry (Taylor’s Version),2021-04-09,70,0.506,0.444,6,-4.99,1,0.0285,0.0538,0.0,0.123,0.241,133.873,261843,4
Fearless (Taylor's Version),The Way I Loved You (Taylor’s Version),2021-04-09,81,0.402,0.732,5,-4.665,1,0.0484,0.0033,0.0,0.108,0.472,161.032,243137,4
Fearless (Taylor's Version),Forever & Always (Taylor’s Version),2021-04-09,73,0.598,0.821,10,-4.433,1,0.0447,0.0231,0.0,0.143,0.673,128.03,225328,4
Fearless (Taylor's Version),The Best Day (Taylor’s Version),2021-04-09,67,0.642,0.576,1,-8.524,1,0.0282,0.488,0.0,0.159,0.469,125.0,245290,4
Fearless (Taylor's Version),Change (Taylor’s Version),2021-04-09,66,0.499,0.815,5,-4.063,1,0.0341,0.000191,0.0,0.181,0.344,95.999,279360,4
Fearless (Taylor's Version),Jump Then Fall (Taylor’s Version),2021-04-09,68,0.572,0.69,2,-6.201,1,0.0358,0.0474,0.0,0.0897,0.624,160.111,237580,4
Fearless (Taylor's Version),Untouchable (Taylor’s Version),2021-04-09,69,0.393,0.531,5,-6.112,1,0.0329,0.0181,0.0,0.169,0.224,200.391,312107,4
Fearless (Taylor's Version),Forever & Always (Piano Version) (Taylor’s Version),2021-04-09,67,0.546,0.273,9,-9.208,1,0.0308,0.819,0.0,0.137,0.271,118.753,267833,4
Fearless (Taylor's Version),Come In With The Rain (Taylor’s Version),2021-04-09,66,0.476,0.564,2,-5.677,1,0.0269,0.0406,0.0,0.102,0.167,143.929,237339,4
Fearless (Taylor's Version),Superstar (Taylor’s Version),2021-04-09,65,0.454,0.555,2,-6.69,1,0.0283,0.157,0.0,0.343,0.171,171.862,263865,4
Fearless (Taylor's Version),The Other Side Of The Door (Taylor’s Version),2021-04-09,70,0.432,0.873,4,-4.367,1,0.0577,0.0279,0.0,0.167,0.629,163.936,238444,4
Fearless (Taylor's Version),Today Was A Fairytale (Taylor’s Version),2021-04-09,68,0.482,0.779,7,-5.025,1,0.0409,0.0135,0.0,0.296,0.328,158.162,241822,4
Fearless (Taylor's Version),You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),2021-04-09,66,0.599,0.494,2,-7.61,1,0.0372,0.816,0.0,0.101,0.44,142.893,220839,4
Fearless (Taylor's Version),Mr. Perfectly Fine (Taylor’s Version) (From The Vault),2021-04-09,77,0.66,0.817,11,-6.269,0,0.0521,0.162,0.0,0.0667,0.714,135.942,277592,4
Fearless (Taylor's Version),We Were Happy (Taylor’s Version) (From The Vault),2021-04-09,68,0.609,0.373,0,-8.819,1,0.0263,0.849,0.0,0.0779,0.13,106.007,244237,4
Fearless (Taylor's Version),That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),2021-04-09,70,0.588,0.608,5,-7.062,1,0.0365,0.225,0.0,0.092,0.508,90.201,189496,4
Fearless (Taylor's Version),Don’t You (Taylor’s Version) (From The Vault),2021-04-09,69,0.563,0.473,3,-11.548,1,0.0503,0.514,1.2e-05,0.109,0.405,101.934,208609,4
Fearless (Taylor's Version),Bye Bye Baby (Taylor’s Version) (From The Vault),2021-04-09,68,0.624,0.624,5,-7.86,1,0.0539,0.334,0.0,0.0995,0.527,80.132,242158,4
Speak Now (Taylor's Version),Mine (Taylor's Version),2023-07-07,81,0.646,0.783,7,-2.846,1,0.0356,0.00444,1.38e-06,0.171,0.49,121.08,231707,4
Speak Now (Taylor's Version),Sparks Fly (Taylor’s Version),2023-07-07,78,0.588,0.758,5,-2.347,1,0.0305,0.0251,0.0,0.131,0.387,114.991,261231,4
Speak Now (Taylor's Version),Back To December (Taylor's Version),2023-07-07,82,0.497,0.635,2,-3.927,1,0.0273,0.00621,0.0,0.117,0.203,142.063,294190,4
Speak Now (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,76,0.727,0.677,7,-2.871,1,0.0325,0.248,0.0,0.143,0.639,118.995,242473,4
Speak Now (Taylor's Version),Dear John (Taylor's Version),2023-07-07,77,0.419,0.47,4,-5.016,1,0.0296,0.0236,0.0,0.163,0.133,119.294,405907,3
Speak Now (Taylor's Version),Mean (Taylor's Version),2023-07-07,77,0.524,0.692,4,-3.866,1,0.0369,0.311,0.0,0.192,0.621,163.874,238693,4
Speak Now (Taylor's Version),The Story Of Us (Taylor's Version),2023-07-07,76,0.515,0.781,4,-2.608,1,0.0535,0.00192,0.0,0.054,0.57,139.846,267653,4
Speak Now (Taylor's Version),Never Grow Up (Taylor's Version),2023-07-07,71,0.685,0.323,2,-7.103,1,0.0289,0.851,0.0,0.198,0.569,125.058,292920,4
Speak Now (Taylor's Version),Enchanted (Taylor's Version),2023-07-07,86,0.505,0.532,8,-3.526,1,0.0265,0.012,0.0,0.149,0.216,81.907,353253,4
Speak Now (Taylor's Version),Better Than Revenge (Taylor's Version),2023-07-07,78,0.496,0.885,11,-2.969,0,0.0803,0.000886,0.0,0.191,0.665,145.863,220307,4
Speak Now (Taylor's Version),Innocent (Taylor's Version),2023-07-07,70,0.522,0.598,1,-5.327,0,0.0284,0.101,0.0,0.152,0.149,133.627,301222,4
Speak Now (Taylor's Version),Haunted (Taylor's Version),2023-07-07,75,0.427,0.915,5,-1.909,1,0.0619,0.00667,0.0,0.221,0.355,162.201,245413,4
Speak Now (Taylor's Version),Last Kiss (Taylor's Version),2023-07-07,75,0.55,0.366,10,-8.46,1,0.0276,0.447,4.43e-06,0.101,0.16,79.401,369120,3
Speak Now (Taylor's Version),Long Live (Taylor's Version),2023-07-07,80,0.375,0.65,0,-4.031,1,0.0402,0.0122,0.0,0.189,0.0752,203.89,317960,4
Speak Now (Taylor's Version),Ours (Taylor’s Version),2023-07-07,72,0.535,0.488,0,-8.261,1,0.0278,0.449,0.0,0.111,0.348,159.813,235803,4
If This Was A Movie (Taylor’s Version),If This Was A Movie (Taylor’s Version),2021-04-09,71,0.472,0.701,4,-3.72,1,0.0279,0.091,0.0,0.23,0.304,147.854,237022,4
Speak Now (Taylor's Version),Superman (Taylor’s Version),2023-07-07,69,0.533,0.742,7,-3.473,1,0.0303,0.0031,0.0,0.108,0.356,131.93,274945,4
Speak Now (Taylor's Version),Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),2023-07-07,75,0.547,0.855,7,-4.7,1,0.0597,0.0164,0.0,0.144,0.282,131.073,266467,4
Speak Now (Taylor's Version),When Emma Falls in Love (Taylor’s Version) (From The Vault),2023-07-07,73,0.474,0.763,2,-4.632,1,0.0505,0.159,0.0,0.138,0.231,78.133,252386,4
Speak Now (Taylor's Version),I Can See You (Taylor’s Version) (From The Vault),2023-07-07,82,0.694,0.764,6,-4.893,1,0.0337,0.0586,0.0,0.0608,0.819,123.044,273186,4
Speak Now (Taylor's Version),Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),2023-07-07,74,0.576,0.57,7,-7.925,1,0.0434,0.362,0.0,0.0668,0.378,147.803,306062,4
Speak Now (Taylor's Version),Foolish One (Taylor’s Version) (From The Vault),2023-07-07,76,0.671,0.588,7,-4.675,1,0.0299,0.617,0.0,0.111,0.543,96.965,311765,4
Speak Now (Taylor's Version),Timeless (Taylor’s Version) (From The Vault),2023-07-07,75,0.624,0.585,3,-5.847,1,0.0328,0.3,0.0,0.0916,0.65,142.883,321397,4
Speak Now (Deluxe Edition),Back To December - Acoustic,2010-10-25,49,0.541,0.453,2,-6.459,1,0.0266,0.748,0.0,0.2,0.377,141.757,292560,4
Speak Now (Deluxe Edition),Haunted - Acoustic Version,2010-10-25,49,0.563,0.443,5,-5.078,1,0.0247,0.842,0.0,0.293,0.313,80.962,217613,4
Speak Now (Deluxe Edition),Mine - POP Mix,2010-10-25,44,0.695,0.723,7,-3.806,1,0.0285,0.00727,1.2e-06,0.1,0.679,121.011,230333,4
Red (Taylor's Version),State Of Grace (Taylor's Version),2021-11-12,72,0.594,0.713,9,-5.314,1,0.0503,0.000328,0.0,0.114,0.328,129.958,295413,4
Red (Taylor's Version),Red (Taylor's Version),2021-11-12,80,0.516,0.777,1,-4.908,0,0.0375,0.00108,1.62e-06,0.0761,0.408,125.047,223093,4
Red (Taylor's Version),Treacherous (Taylor's Version),2021-11-12,72,0.645,0.593,2,-6.506,1,0.0288,0.0344,0.000127,0.13,0.299,109.984,242720,4
Red (Taylor's Version),I Knew You Were Trouble (Taylor's Version),2021-11-12,80,0.584,0.557,6,-6.371,1,0.0342,0.0129,0.0,0.0576,0.767,154.008,219760,4
Red (Taylor's Version),All Too Well (Taylor's Version),2021-11-12,76,0.44,0.528,0,-7.809,1,0.0317,0.0171,0.00203,0.234,0.132,185.972,329160,4
Red (Taylor's Version),22 (Taylor's Version),2021-11-12,80,0.642,0.695,7,-5.62,1,0.0281,0.000443,1.02e-05,0.0753,0.642,103.984,230960,4
Red (Taylor's Version),I Almost Do (Taylor's Version),2021-11-12,70,0.511,0.559,4,-6.587,1,0.0264,0.0167,0.0,0.113,0.248,145.88,244587,4
Red (Taylor's Version),We Are Never Ever Getting Back Together (Taylor's Version),2021-11-12,81,0.567,0.686,7,-6.139,1,0.175,0.0317,1.86e-06,0.0732,0.716,172.014,193147,4
Red (Taylor's Version),Stay Stay Stay (Taylor's Version),2021-11-12,70,0.693,0.681,0,-7.039,1,0.025,0.0848,0.0,0.0768,0.663,100.02,205787,4
Red (Taylor's Version),The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),2021-11-12,73,0.502,0.534,2,-5.954,1,0.0278,0.0399,0.0,0.0977,0.155,94.05,299080,4
Red (Taylor's Version),Holy Ground (Taylor's Version),2021-11-12,70,0.622,0.809,9,-5.623,1,0.0638,0.0288,0.00218,0.109,0.511,156.894,202960,4
Red (Taylor's Version),Sad Beautiful Tragic (Taylor's Version),2021-11-12,71,0.601,0.406,7,-11.827,1,0.0275,0.622,9.19e-05,0.133,0.232,130.059,284773,3
Red (Taylor's Version),The Lucky One (Taylor's Version),2021-11-12,69,0.686,0.571,4,-7.138,1,0.05,0.066,0.0,0.0608,0.538,117.889,240467,4
